reviewId,review,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId,company,year,rating,clean_review,clean_review_len
gp:AOqpTOFZYnapoEKajsEGFrCKJ_vmsJ8If4t6mZ5K6xtg-mw5hWRcSDwCNDfXvCyXpU-Kx4ibWIjKdAoBhxW-Pw,After update my existing policies are not showing. Full of bugs.,1,0,4.9,2019-10-28 20:49:10,"Hi,
We are sorry for the inconvenience caused. Kindly update your email at profile screen.Do write to us at bagichelp@bajajallianz.co.in if you still face any issue.",2019-10-29 09:26:51,com.ba.cp.controller,bajaj_allianz,2019,1,update exist policy not show full bug,7
gp:AOqpTOHy0QfB7Y5Uj98Kw7F-iRhMZGUeYNw81fR8ZFW268WQLIJst11DXXElAa1zykRqFm3V2qLBeu81U8rCuH8,Tiring. Just keeps icon rotating. Nothing happens. Wastage of time.,1,0,7.7,2021-04-10 15:04:07,"Hi Sharad Thombre, We apologize for the inconvenience caused. We will look into this. The issue will be resolved soon, and you will be updated as soon as it's done. We are assuring you of our best services at all times. Take it easy! :)",2021-04-21 10:31:33,com.pms.activity,hdfc_ergo,2021,1,tire keep icon rotate nothing happen wastage time,8
gp:AOqpTOGutSpa6ZgezQpU9b58sHejnifKFX_91Qa2SoQttVtc8v5hwGy9sd6NS8Curks7W7e7R_aYiS-VT7NurQ,"Now it's working properly, thanks",4,0,2.0.17,2021-02-03 15:02:58,"Dear Deepak, thanks for your feedback and we value your appreciation.

",2021-02-04 16:10:40,icici.lombard.ghi,icici_lombard,2021,0,work properly thank,3
gp:AOqpTOErT-CbrKgwZlpEKMUBuzlqSlQ5OhR8QOAgA396Q2Aa6n9mUsDgfCD1eOx2f6iV88o1NvJS4bGQrNPJyw,ICICI people ask us to raise the claim through app and the app crashes continuously during the claim process. Data is not attcahed.,1,0,2.0.27,2021-04-14 15:37:37,"Dear Bhushan, we apologize for the inconvenience you had to face. We request you to share your claim number or policy number along with contact details at iltakecare@icicilombard.com. Our team will look into the matter. Thanks!",2021-04-14 20:09:17,icici.lombard.ghi,icici_lombard,2021,1,people ask raise claim app app crash continuously claim process datum not attcahe,13
gp:AOqpTOE_fRyh1_FEiWVfsG5qCw72bRHskVmI1jwLyNY4sdlqWCUZcSSbAfI65aZroIpmwhsFOmBSByrBExNZqQ,Shaheen explained the app well ..easy to use and various facilities are available which I wasn't aware of 👍,5,2,2.0.34,2021-06-20 22:18:43,"Dear Ruchika, Thank you so much for your valuable feedback.",2021-06-21 19:54:40,icici.lombard.ghi,icici_lombard,2021,0,shaheen explain app well easy use various facility available not aware thumb,12
gp:AOqpTOETMDxTHHrTMCFlSD4vzQrJcsnyPRQiYwoTcp3lvQdyJic8SqtarRc49LyyKYmxEHvEegoZh0wJMmJrE3s,Easy to find your policy details.,5,0,7.2,2021-01-24 15:09:47,"Hi Vaishali Khandagale, Thank you for the feedback on our app. We work towards the best customer experience and request your continuous support in our future endeavors.

Take it easy! :)",2021-01-25 09:52:36,com.pms.activity,hdfc_ergo,2021,0,easy find policy detail,4
gp:AOqpTOFp0b8qSZ1o7nZS5iYU9S4pJ2V6i8JC2dJ9g2MFX8rQ1QCAQOBsTKMA2iYbPlX5_4sMQhQtOEarB9irlA,"Hi, This aap is very helpfull",5,8,2.0.40,2021-08-17 10:27:36,"Dear Nakka, Thank you so much for your valuable feedback.

",2021-08-17 19:16:06,icici.lombard.ghi,icici_lombard,2021,0,hi aap helpfull,3
gp:AOqpTOGmhTwUEZRQOQ4CA1hKWtvsttAUGVKf_0xbY3c72aI7JZx_nbncGdbkZu3fb2Tn-q79k5uZdZPJ0E7jUGU,I cannot rate it as there is nothing good in this app to rate for. You just spoiled it by creating this new version. First it was not opening after installing..and now required details are not being fetched..then why it has been made? I surely believe that this app will not work when we actually need it...and after which...same old methodology trips to the offices and so on... No pop ups are being received to renew the policy... I don't understand why that discount carrot has been kept ?,1,25,7.4,2021-02-05 09:53:19,,,com.pms.activity,hdfc_ergo,2021,1,not rate nothing app rate spoil create new version first not open installingand require detail not fetchedthen make surely believe app not work actually need itand whichsame old methodology trip office no pop receive renew policy not understand discount carrot keep,41
gp:AOqpTOGpj3CSREKtQCbBMt1aSsYfK3K4EpAywOhcN1f5gsv07Epulb2Ri7rol_pbzwzFrkcPEPCesbIW-YMUMQ,Bad Experience paid to buy new car policy payment taken no policy issued. Amt Rs 12004 on 30 May 2020 on 1 May talked to CS executive received txt previous payment failed pay again so paid again. Amt Rs 12646 on 1 May 2020 till dat no policy issued and no refunds made. Most pathetic service after taking almost RS 25000 from me and still no refunds. If they treat decade old customers like this dunno how they treat others......Bad Bad Bad experience,1,1,8.5,2020-06-08 13:52:29,We regret the inconvenience you had to face. For better assistance please share your information with bagichelp@bajajallianz.co.in. We will be happy to assist you.,2020-06-12 12:56:28,com.ba.cp.controller,bajaj_allianz,2020,1,experience pay buy new car policy payment take no policy issue amt rs may may talk cs executive receive txt previous payment fail pay pay amt rs may till dat no policy issue no refund make service take almost rs still no refund treat decade old customer like dunno treat othersbad experience,52
gp:AOqpTOEE8Ywf-nNQ3veBRA2rv859Sv2_BwYlGJiAPYW4nnz_eYou0BGOCmSdZBBadM9DWtHnoUsmRCuDGIScCA,"Fantastic app, initially had some problems bad after calling customer care it got resolved. I filed a claim with this app and claim settled within 7 days time which really amazed me.",5,10,2.0.34,2021-06-19 07:24:22,"Dear Anand, Thank you so much for your valuable feedback.

",2021-06-19 20:30:43,icici.lombard.ghi,icici_lombard,2021,0,fantastic app initially problem call customer care got resolve file claim app claim settle within day time really amaze,19
